source_file,mode,model,accuracy,macro_f1,weighted_f1,training_time_seconds,inference_time_seconds,inference_time_ms
multiclass_extended_metrics.csv,multiclass,logistic_regression,0.818071975171172,0.7587132187091483,0.8235287566064355,70.56388480000896,0.0309100000304169,30.910000030416903
multiclass_extended_metrics.csv,multiclass,random_forest,0.9836053922149304,0.9523682935860984,0.9843010819562048,0.7874088999815285,0.2245714000309817,224.5714000309817
multiclass_extended_metrics.csv,multiclass,lightgbm,0.9845293657750716,0.9528434373727108,0.9852576639710664,3.2529036000487395,0.528311800037045,528.311800037045
multiclass_extended_metrics.csv,multiclass,xgboost,0.9810940794617262,0.9459507023846928,0.9820499746921758,3.180160899995826,0.1387084999587386,138.7084999587386
multiclass_extended_metrics.csv,multiclass,logistic_regression,0.8141391646331351,0.7541346752181421,0.8186390449158151,58.77926119999029,0.0203819999587722,20.381999958772198
multiclass_extended_metrics.csv,multiclass,random_forest,0.9851927314079936,0.9528011682422364,0.9853082093477892,8.357313400018029,0.194279599993024,194.279599993024
multiclass_extended_metrics.csv,multiclass,xgboost,0.9849795067402688,0.9482163756570706,0.9850098741164296,17.391584900033195,0.1303645999869331,130.3645999869331
multiclass_extended_metrics.csv,multiclass,lightgbm,0.98547703096496,0.9523073133463552,0.9858226696600972,30.22721109999111,0.1957411000039428,195.7411000039428
multiclass_extended_metrics.csv,multiclass,mlp_classifier,0.944348361723803,0.885129469834226,0.9435843128783642,27.287373099999968,0.0517344999825581,51.7344999825581
smote_comparison.csv,binary,random_forest,0.9981283612499704,0.9974104777363152,0.9981278767173613,0.6735881000058725,0.0733870000112801,73.3870000112801
smote_comparison.csv,binary,lightgbm,0.9974886872467956,0.9965344077776304,0.997491272319176,0.2745021000155248,0.0461058000219054,46.1058000219054
smote_comparison.csv,binary,xgboost,0.9967779383543794,0.9955465432938636,0.9967787150847622,0.298473099945113,0.016132699965965,16.132699965965
smote_comparison.csv,binary,logistic_regression,0.9572129166765382,0.9407913344922564,0.957198141758922,0.6470310000004247,0.0104940999881364,10.494099988136401
smote_comparison.csv,binary,random_forest,0.9977729868037624,0.996923146697714,0.9977739828747516,0.6117332000285387,0.1590880999574437,159.0880999574437
smote_comparison.csv,binary,lightgbm,0.9970859295410932,0.9959795707518536,0.997089277298246,0.2976319000008516,0.0290075000375509,29.007500037550898
smote_comparison.csv,binary,xgboost,0.9969200881328628,0.9957500370270522,0.9969233636631176,0.2949018999934196,0.0164988000178709,16.4988000178709
smote_comparison.csv,binary,logistic_regression,0.9574024497145158,0.9410291672261344,0.957378892093922,0.7175674000172876,0.0070294999750331,7.0294999750331
hyperparameter_tuning_results.csv,binary,random_forest,0.9981283612499704,0.9974104777363152,0.9981278767173613,13.715077399974689,0.0871027000248432,87.1027000248432
hyperparameter_tuning_results.csv,binary,xgboost,0.9979388282119928,0.9971504105000426,0.9979390767897776,2.8951767000253312,0.0220751999877393,22.0751999877393
hyperparameter_tuning_results.csv,binary,lightgbm,0.9984600440664312,0.9978711430529305,0.9984602828100856,4.940958000021055,0.0400787999969907,40.078799996990696
hyperparameter_tuning_results.csv,multiclass,random_forest,0.9851927314079936,0.9528011682422364,0.9853082093477892,8.357313400018029,0.194279599993024,194.279599993024
hyperparameter_tuning_results.csv,multiclass,xgboost,0.9849795067402688,0.9482163756570706,0.9850098741164296,17.391584900033195,0.1303645999869331,130.3645999869331
hyperparameter_tuning_results.csv,multiclass,lightgbm,0.98547703096496,0.9523073133463552,0.9858226696600972,30.22721109999111,0.1957411000039428,195.7411000039428
deployment_analysis.csv,binary,lightgbm,0.9985548105854202,0.9980014609479446,0.9985547856709835,1.3233443000353873,0.2079806000110693,207.9806000110693
deployment_analysis.csv,multiclass,lightgbm,0.9852638062972352,0.9520941513647097,0.9853667023960808,8.364981000020634,1.5975600000238046,1597.5600000238046
embedded_logistic_regression_metrics.csv,binary,embedded_logistic_regression,0.8179772086521832,0.6933270961746285,0.7962016538860374,0.592080399976112,0.0076665999949909,7.6665999949909
